Laptops Serial Number;Belongs to a Computer Producers Brand;Uninterrupted Operating Time (hours)
1;1799840;1;97
2;1614665;1;181
3;1936674;1;123
4;1888620;0;238
5;1159585;1;121
6;1151709;0;244
7;1479570;1;222
8;1293642;1;211
9;1033223;0;241
10;1199894;0;88
11;1117586;1;119
12;1869211;0;88
13;1992048;1;274
14;1732936;1;187
15;1135290;0;268
16;1642841;0;125
17;1308660;0;131
18;1306297;0;246
19;1269304;1;208
20;1070477;0;136
21;1623087;0;104
22;1434138;1;184
23;1196750;0;140
24;1600016;1;244
25;1623440;1;168
26;1445382;0;278
27;1941411;1;212
28;1746691;0;230
29;1267774;1;120
30;1129803;0;142
31;1952625;0;212
32;1030174;0;157
33;1323573;1;278
34;1065815;0;113
35;1340468;0;219
36;1264406;0;127
37;1811785;0;126
38;1298142;1;262
39;1042813;1;225
40;1710314;1;216
41;1982894;1;109
42;1880332;1;107
43;1334876;0;120
44;1119811;0;225
45;1654536;1;157
46;1936080;1;224
47;1788808;0;230
48;1854552;0;277
49;1483380;0;201
50;1511214;0;155
51;1331918;0;236
52;1612663;1;194
53;1102903;1;263
54;1606315;0;96
55;1579568;1;140
56;1408587;1;103
57;1045617;1;244
58;1228812;0;171
59;1265901;0;151
60;1793152;0;93
61;1623765;1;205
62;1249855;0;255
63;1194128;1;226
64;1775436;1;183
65;1009320;1;192
66;1739037;1;218
67;1659675;1;140
68;1073026;0;262
69;1355690;1;184
70;1371115;1;194
71;1097768;0;248
72;1603443;1;166
73;1314949;0;207
74;1646210;1;127
75;1713317;0;109
76;1099563;1;232
77;1189828;1;258
78;1620802;0;187
79;1867605;1;187
80;1476786;1;186
81;1786127;0;251
82;1743618;1;173
83;1046215;1;264
84;1522271;1;279
85;1774263;0;125
86;1805103;1;240
87;1482264;1;238
88;1626090;0;156
89;1986104;1;243
90;1280177;1;279
91;1978463;1;248
92;1725351;0;95
93;1105653;1;285
94;1476543;0;274
95;1990609;0;285
96;1077994;0;241
97;1020216;1;188
98;1461089;0;252
99;1392154;0;229
100;1317025;1;110
101;1103920;1;101
102;1611533;0;138
103;1630767;1;159
104;1778654;0;91
105;1616579;0;103
106;1118982;1;87
107;1167862;1;129
108;1542186;0;99
109;1911789;1;92
110;1166910;0;98
111;1862082;0;116
112;1926236;0;132
113;1981719;0;242
114;1570793;1;271
115;1502487;1;150
116;1953288;1;234
117;1722731;1;205
118;1646277;0;110
119;1862286;1;189
120;1070790;1;181
121;1638322;0;200
122;1600720;1;238
123;1865525;0;91
124;1879588;1;188
125;1352666;0;204
126;1936789;1;141
127;1077939;0;89
128;1184260;0;102
129;1142010;0;201
130;1808053;1;212
131;1151737;0;176
132;1435550;1;196
133;1769693;0;143
134;1583161;1;261
135;1202060;1;192
136;1832648;0;217
137;1212175;0;206
138;1372182;0;266
139;1431214;1;277
140;1331588;0;90
141;1261354;0;222
142;1269347;1;210
143;1442043;0;261
144;1434590;1;271
145;1998070;1;227
146;1209333;0;181
147;1203976;0;153
148;1891128;1;265
149;1025954;1;224
150;1232635;0;211
151;1393410;1;252
152;1642389;1;273
153;1505995;0;101
154;1897965;1;157
155;1011146;0;236
156;1102492;0;196
