Номер будинку, що належить ОСББ;Час безперебійної роботи електрообладнання у будинку
1;0;167
2;0;234
3;0;186
4;0;204
5;1;224
6;0;203
7;1;253
8;0;228
9;1;215
10;0;113
11;1;208
12;0;110
13;0;281
14;0;221
15;1;116
16;0;86
17;0;246
18;1;165
19;1;253
20;1;192
21;0;202
22;0;173
23;0;155
24;1;278
25;1;213
26;0;258
27;0;201
28;1;189
29;0;281
30;0;254
31;0;91
32;0;165
33;1;255
34;0;100
35;0;284
36;1;246
37;1;134
38;0;165
39;0;162
40;1;170
41;0;93
42;0;241
43;0;186
44;1;160
45;0;140
46;1;115
47;0;246
48;1;172
49;0;138
50;1;111
51;1;184
52;1;237
53;0;191
54;0;141
55;1;216
56;0;87
57;1;258
58;0;191
59;0;238
60;0;91
61;0;221
62;1;105
63;1;92
64;1;129
65;0;156
66;1;193
67;0;265
68;0;264
69;1;230
70;1;231
71;0;237
72;1;166
73;0;128
74;0;129
75;1;95
76;0;148
77;0;232
78;1;269
79;1;151
80;1;185
81;1;279
82;1;232
83;1;257
84;0;281
85;1;168
86;1;223
87;0;187
88;0;129
89;0;228
90;1;127
91;0;242
92;0;229
93;1;230
94;1;165
95;0;281
96;0;206
97;0;201
98;1;155
99;1;179
100;1;215
101;1;234
102;1;235
103;1;223
104;0;285
105;0;120
106;1;145
107;0;129
108;0;278
109;1;194
110;0;182
111;0;97
112;1;92
113;1;233
114;0;264
115;0;224
116;0;132
117;1;196
118;0;100
119;0;104
120;1;130
121;0;134
122;0;145
123;1;268
124;0;277
125;0;239
126;1;88
127;1;199
128;1;143
129;1;153
130;0;116
131;0;241
132;0;110
133;1;156
134;1;145
135;1;113
136;0;270
137;1;242
138;1;91
139;1;127
140;0;154
141;1;200
142;0;148
143;0;117
144;0;233
145;0;227
146;0;103
147;0;180
148;0;176
149;0;153
150;0;190
151;1;138
152;0;226
153;1;252
154;1;162
155;0;271
156;0;95
157;0;112
158;1;251
159;0;90
160;0;285
161;1;225
162;1;181
163;1;209
164;0;224
165;0;94
166;1;183
167;1;168
168;1;111
169;0;259
170;1;115
171;1;156
172;0;283
173;0;253
174;0;179
175;0;88
176;0;261
177;1;266
178;0;248
179;1;262
180;0;194
181;0;275
182;1;263
183;1;151
184;1;191
185;1;200
186;1;262
187;0;162
188;1;174
189;0;228
190;0;187
191;1;252
192;1;275
193;1;207
194;1;236
195;1;99
196;1;85
197;1;109
198;1;241
199;1;98
200;1;85
201;0;215
202;1;250
203;1;141
204;0;248
205;0;174
206;0;220
207;0;140
208;1;169
209;0;102
210;1;227
211;0;277
212;0;249
213;1;253
214;0;135
215;0;256
216;1;111
217;0;168
218;0;97
219;1;92
220;0;254
221;1;280
222;1;270
223;0;194
224;1;271
225;0;187
226;0;114
227;0;185
228;0;132
229;1;87
230;0;176
231;0;213
232;0;187
233;0;182
234;0;115
235;0;90
236;0;235
237;0;186
238;1;247
239;1;101
240;0;263
241;0;238
242;1;166
243;0;247
244;1;141
245;1;232
246;1;104
247;1;210
248;1;222
